Inventory ID (OPTIONAL),Artist Name ,Title ,Year ,Price ,Medium ,Materials ,Height ,Width ,Depth,Certificate of Authenticity ,Signature ,Classification 
KG-1529,Unknown Artist,Group of 3 Malwa Paintings,1656,,Opaque watercolor on prepared paper,Opaque watercolor on prepared paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1533,Unknown Artist,2 Fragments of a Cosmological Diagram,1850,,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1537,Unknown Artist,Krishna Battling the Horse Demon Keshi,1850,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1538,Unknown Artist,Maharaja Ari Singh of Mewar / A Groom Rides an Elephant Masked Stallion,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1542,Unknown Artist,Dhanasri Ragini,1800,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1543,Unknown Artist,Mythological Figure with a Ruler,1601,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1544,Unknown Artist,2 Double Sided Illustrations,,,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1545,Unknown Artist,Holy Family,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1546,Unknown Artist,A Leaf from a Ragini: Inscribed Nand Dasi (Yogini),1601,,Gouache with gold on paper,Gouache with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1549,Unknown Artist,Krishna Slaying Arishta,1800,,Opaque watercolors heightened with gold on paper,Opaque watercolors heightened with gold on paper,3.0,7.0,,,,"Drawing, Collage or other Work on Paper"
KG-1550,Unknown Artist,A Leaf from a Ragamala,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1551,Unknown Artist,Dhanasri,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1552,Unknown Artist,Narasimha Disembauming Hiranyakashipu,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1553,Unknown Artist,Saraswati,1801,,Opaque watercolors heightened with gold on paper,Opaque watercolors heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1554,Unknown Artist,Karthikeyi,1801,,Opaque watercolors heightened with gold on paper,Opaque watercolors heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1555,Unknown Artist,Shiva Panchanana and Parvati,1801,,Opaque watercolors heightened with gold on paper,Opaque watercolors heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1556,Unknown Artist,Gathering of Rishis,1710,,"Opaque watercolor heightened with gold on paper  
Inscribed: Two lines of black ink Devanagari script in the yellow panel at top – the invocation begins: Rama / Bala / … In pothi (horizontal) format.","Opaque watercolor heightened with gold on paper  
Inscribed: Two lines of black ink Devanagari script in the yellow panel at top – the invocation begins: Rama / Bala / … In pothi (horizontal) format.",,,,,,"Drawing, Collage or other Work on Paper"
KG-1557,Unknown Artist,"Nayika Bhed, Mugdha: Navala Vadhu (The Newly Wedded)",1810,8000.0,Opaque watercolor heightened with gold on wasli,Opaque watercolor heightened with gold on wasli,,,,,,Painting
KG-1558,Unknown Artist,Krishna Saves the Unconscious Gopas,1693,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1559,Unknown Artist,Yasodha with Krishna and Nandlal,1801,12000.0,Opaque watercolors heightened with gold on paper,Opaque watercolors heightened with gold on paper,8.0,13.0,,,,"Drawing, Collage or other Work on Paper"
KG-1560,Unknown Artist,Watercolor of a Fortress,1901,,watercolor,watercolor,,,,,,Painting
KG-1561,Unknown Artist,Desakh Ragini,1701,,Opaque watercolor heightened gold on paper,Opaque watercolor heightened gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1562,Unknown Artist,Rama and Lakshmana meet with Sugriva,1800,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1565,Unknown Artist,Trayodashi,1800,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1566,Unknown Artist,The Goddess Mahagauri Astride White Bull,1800,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1567,Unknown Artist,Light skin man,1830,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1568,Unknown Artist,Ruler in a Garden,1501,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1570,Unknown Artist,Nymph Rambha cursed by Vishvamitra,1601,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1571,Unknown Artist,Leaf from the Madhvalnal Kamakandala,1801,,Opaque watercolors heightened with gold on paper,Opaque watercolors heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1572,Unknown Artist,Vishnu on a Lotus,1720,,Opaque watercolor heightened gold on paper,Opaque watercolor heightened gold on paper,6.5,4.75,,,,"Drawing, Collage or other Work on Paper"
KG-1573,Unknown Artist,A Group of Photos Depicting India,1929,,"Each photograph stamped on verso: H.R. Ferger, Jhansi, U.P.","Each photograph stamped on verso: H.R. Ferger, Jhansi, U.P.",,,,,,Photograph
KG-1574,Unknown Artist,Elephant in landscape,1701,,Gouache on paper,Gouache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1575,Unknown Artist,Running Elephant,1701,,Gouache on paper,Gouache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1576,Unknown Artist,"Surah Al-A’raf from a Quran Manuscript, Verses 147–150 (Recto), 150–154 (Verso)",1501,,Gouache and ink on paper,Gouache and ink on paper,14.0,10.5,,,,"Drawing, Collage or other Work on Paper"
KG-1578,Unknown Artist,Shiva Under the Influence of Bhang,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,11.0,7.0,,,,"Drawing, Collage or other Work on Paper"
KG-1579,Unknown Artist,Trishala's Fourteen Auspicious Dreams Foretelling the Birth of Mahavira: Folio from a Jain Kalpa-sutra Manuscript,1501,,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1580,Unknown Artist,The Mi'raj: The Miraculous Night Journey of Muhammad,1850,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1581,Unknown Artist,A Leaf from the Krishna Sudama,1801,15000.0,Gouache heightened with gold on paper,Gouache heightened with gold on paper,7.75,10.0,,,,"Drawing, Collage or other Work on Paper"
KG-1582,Unknown Artist,Rupmati and Baz Bahadur on Horseback,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1583,Unknown Artist,Maharaja with Two Courtesans,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1585,Unknown Artist,A Double-Sided Album Page: The Taj Mahal and a Bird of Prey,1800,,"Opaque pigments heightened with  
gold on paper","Opaque pigments heightened with  
gold on paper",,,,,,"Drawing, Collage or other Work on Paper"
KG-1586,Unknown Artist,Parshuram Incarnation Of Vishnu,1700,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,11.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1587,Unknown Artist,An Illustration from the Polier Album: A Raja in a Garden,1801,28000.0,Watercolor on paper,Watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1588,Unknown Artist,A Maiden Being Presented to a Prince,1701,,"Opaque watercolor heightened with gold on paper, laid down on card, narrow gold borders; verso with Devangari inscription.","Opaque watercolor heightened with gold on paper, laid down on card, narrow gold borders; verso with Devangari inscription.",,,,,,"Drawing, Collage or other Work on Paper"
KG-1589,Unknown Artist,The Birth of Mahavira: Folio from a Jain Kalpa-sutra Manuscript,1401,,"Ink, opaque colors and gold on paper","Ink, opaque colors and gold on paper",,,,,,"Drawing, Collage or other Work on Paper"
KG-1590,Unknown Artist,Nayika removes jewelry by moonlight,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,8.0,5.5,,,,"Drawing, Collage or other Work on Paper"
KG-1591,Unknown Artist,Nayika with grooming handmaid,1701,,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1592,Unknown Artist,Devi and demon army,1701,,Opaque watercolor on paper,Opaque watercolor on paper,7.5,5.5,,,,"Drawing, Collage or other Work on Paper"
KG-1593,Unknown Artist,Two princesses on horses,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1594,Unknown Artist,Krishna and ladies,1801,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,7.0,6.0,,,,"Drawing, Collage or other Work on Paper"
KG-1595,Unknown Artist,Camel with Trainer,1601,,Pencil on paper,Pencil on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1596,Unknown Artist,The Sufi mystic Rabia Basri fed by angels in the wilderness,1701,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1597,Unknown Artist,Portrait of a European lady,1750,,"Gouache on paper mounted on an album page, painted cotton margin","Gouache on paper mounted on an album page, painted cotton margin",,,,,,"Drawing, Collage or other Work on Paper"
KG-1598,Unknown Artist,Centaur archer,1801,,Ink on paper mounted on an album page,Ink on paper mounted on an album page,,,,,,"Drawing, Collage or other Work on Paper"
KG-1599,Unknown Artist,Battle of the demon and the dragon,1801,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1602,Unknown Artist,Europeans with stag and lion,1501,,Drawing with gouache and gold on paper,Drawing with gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1603,Unknown Artist,Saundarya: A Lady at her Toilette,1810,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1611,Unknown Artist,Kusha Giving Consult to His Progeny,1810,,ink on paper,ink on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1614,Unknown Artist,A Leaf from the Devi Mahatmya: Homage of the Gods,1775,,ink on paper,ink on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1617,Unknown Artist,An Indian Miniature of the Madonna and Child with Angels,1601,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1618,Unknown Artist,An Indo-Persian Illuminated Miniature,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1619,Unknown Artist,A Falconer Safavid,1601,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1621,Unknown Artist,Ganesha,1001,80000.0,Gray basalt,Gray basalt,,,,,,Sculpture
KG-1622,Unknown Artist,Illustration to the Jayadeva Gita Govinda,1714,25000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1623,Unknown Artist,"Krishna, the butter thief",1201,,Copper alloy,Copper alloy,4.0,,,,,Sculpture
KG-1624,Unknown Artist,Shiva and Parvati,1780,8000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1627,Unknown Artist,Matrika Lotus Mandala,1501,12000.0,Copper alloy,Copper alloy,,,,,,Sculpture
KG-1628,Unknown Artist,Illustration to the Devi Mahatmya: Kali Withdraws from Vishnu,1800,15000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,11.0,7.0,,,,"Drawing, Collage or other Work on Paper"
KG-1629,Unknown Artist,Kali Trampling Shiva,1701,26000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,7.0,4.0,,,,"Drawing, Collage or other Work on Paper"
KG-1630,Unknown Artist,Chinnamasta,1701,25000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,7.0,4.0,,,,"Drawing, Collage or other Work on Paper"
KG-1632,Unknown Artist,Krishna and Radha at a Jharokha window: Illustration to a Rasikapriya Series,1820,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1633,Unknown Artist,Krishna Enthroned: Illustration to a Rasikapriya Series,1820,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1634,Unknown Artist,Krishna conversing with a Sakhi: Illustration to a Rasikapriya Series,1820,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,9.0,6.0,,,,"Drawing, Collage or other Work on Paper"
KG-1635,Unknown Artist,A Nayika Writing a Note,1810,12000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1636,Unknown Artist,Maiden with Mirror,1810,8000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1637,Unknown Artist,Radha Watching a Storm,1824,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1638,Unknown Artist,Illustration to the Lanka Kana of the Ramayana: The Awakening of the Giant Kumbhakarna,1801,12000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1639,Unknown Artist,Illustration from the Ramayana,1701,25000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1640,Unknown Artist,Illustration from the Ramayana: Sita in Ravana's Palace (Scene 99),1701,25000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1641,Unknown Artist,Rama,1401,50000.0,Brass,Brass,,,,,,Sculpture
KG-1642,Unknown Artist,Four Cats,1720,15000.0,Opaque pigments on paper,Opaque pigments on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1643,Unknown Artist,The Boar,1720,30000.0,Opaque pigments on paper,Opaque pigments on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1644,Unknown Artist,Lord Kubera,1720,12000.0,Opaque pigments on paper,Opaque pigments on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1646,Unknown Artist,Leaf from a Panch Kalyanaka of Rishabhanatha series: Prince Shreyans Achieves Jati-smaran Gyan,1720,18000.0,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1648,Unknown Artist,Abhisandhita Nayika,1801,30000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1649,Unknown Artist,Dancing Ganesha,901,60000.0,Sandstone,Sandstone,,,,,,Sculpture
KG-1652,Unknown Artist,Women in the Zenana,1601,35000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1653,Unknown Artist,Taj Mahal No. 1,1931,6000.0,Woodblock in colors,Woodblock in colors,,,,,,Print
KG-1656,Unknown Artist,Standing Figure of Tara,801,250000.0,Copper alloy with silver inlay,Copper alloy with silver inlay,,,,,,Sculpture
KG-1660,Unknown Artist,Ganesha,1101,18000.0,Bronze,Bronze,,,,,,Sculpture
KG-1662,Unknown Artist,Arhat Nagasena,1701,160000.0,Distemper on cloth,Distemper on cloth,,,,,,Thangka
KG-1663,Unknown Artist,Konchog Bang,1701,96000.0,Distemper on cloth,Distemper on cloth,,,,,,Thangka
KG-1665,Unknown Artist,Arhat Nagasena,1701,220000.0,Distemper on cloth,Distemper on cloth,,,,,,Thangka
KG-1668,Unknown Artist,Green Tara (Syamatara),1301,,Gilt-bronze with semi-precious inlaid stones,Gilt-bronze with semi-precious inlaid stones,,,,,,Sculpture
KG-1670,Unknown Artist,Chakrasamvara and Vajrayogini,1401,350000.0,Gilt copper,Gilt copper,,,,,,Sculpture
KG-1671,Unknown Artist,Brahma with Devotees,1630,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1673,Unknown Artist,A Maharishi on a Terrace,1700,35000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1675,Unknown Artist,Narasimha Disemboweling Hiranyakashipu,1601,18000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1676,Unknown Artist,A leaf from a Panchatantra Series (or ‘Panchakhyana’ Series),1725,22000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1677,Unknown Artist,Nat Ragini,1725,28000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1678,Unknown Artist,The goddess Lakshmi,1701,12000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1679,Unknown Artist,Rama and Lakshmana,1730,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1682,Unknown Artist,"Shiva as Tripurantaka, The Destroyer of Tripura",1750,80000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,7.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1683,Unknown Artist,A portrait of a woman with a cat,1701,6000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,6.0,4.0,,,,"Drawing, Collage or other Work on Paper"
KG-1685,Unknown Artist,Leaf 21 from the Devi Mahatmya: Homage of the Gods,1790,80000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1686,Unknown Artist,Shiva and Parvati,1830,22000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1687,Unknown Artist,An Illustration to the Devi Mahatmya: The Demon Army,1820,18000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1689,Unknown Artist,A leaf from the Devi Mahatmya: Homage of the Gods,1850,15000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1690,Unknown Artist,Ganesha,1801,,Opaque watercolor heightened with silver and gold on paper,Opaque watercolor heightened with silver and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1691,Unknown Artist,An equestrian portrait of Maharana Bhim Singh of Mewar,1801,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1692,Unknown Artist,Two Paithan Paintings Illustrating the Ramayana,1801,6000.0,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1693,Unknown Artist,Interior of I’timad ad-Daulahs Tomb,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1694,Unknown Artist,China Building Opposite Agra,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1695,Unknown Artist,Dome at the Tomb of Akbar,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1696,Unknown Artist,A small reflief of Hariti,101,8000.0,Grey Schist,Grey Schist,,,,,,Sculpture
KG-1698,Unknown Artist,Buddha Shakyamuni,901,80000.0,Black Schist,Black Schist,,,,,,Sculpture
