j,Image,Title,Origin,Date,Medium ,Dimensions,Physical Location,File Location,Acquired From,Literature & Exhibited,Provenance,Essay Writtenn( Yes/No),
,,A Raja and His Courtiers Playing Chaupar,Guler or Basohli,1720-1750,Opaque watercolor heightened with gold on paper,"Image: 9 1/4 x 6 1/2 in. (23.5 x 16.5 cm.)
Folio: 10 1/2 x 7 3/4 in. (26.7 x 19.7 cm.)",apartment,https://drive.google.com/drive/folders/1G5lNsmthk3OpSkVXJcBTbs53AcHfW48G?usp=sharing,purchased from small auction in NY,,"Owner's father acquired them in the 1960's in India. They date back to the 1700's. He was a recognized collector from San Francisco. The family ran the Hale Bros Department Stores in SF, later became Carter, Hawley, Hale Stores..and later acquired a number of retail store chains including Nieman Marcus. He collected Monet, Manet, Morisot, Degas, Renoir, among others. There is a Renoir he donated to the Legion of Honor Museum in the SF Presidio. Do not know the exact date of the Stanford exhibition.
",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,A portrait of a woman with a cat,Delhi,late 18th century,Opaque watercolor heightened with gold on paper,"Image: 6 1/4 x 4 in. (15.9 x 10.2 cm.)
Folio: 11 3/4 x 8 1/4 in. (29.8 x 21 cm.).",Drawer 11,https://drive.google.com/drive/folders/1vjfOjWo5JevGOh6Dv6z1wZVjn15u3nhI?usp=sharing,Andy Schoelkopf,,"From a distinguished New York collection, acquired 1968.",,
,,,,,,,,,,,,,
,,"
Maharaja Vijay Singh of Marwar",Jodhpur,1805-1815,Opaque watercolor heightened with gold on paper,"Image: 10 3⁄4 x 15 in. (27.3 x 38.1 cm.)
Folio: 12 1⁄2 x 17 in. (32 x 43 cm.)","basement,
BB2",https://drive.google.com/drive/folders/1KuT3SkpxeI4q1_mrt3fjQuDwxQ9VeHni?usp=sharing,"Millon, 12/3/18, lot 304",,Private European collection.,,
,,A commemorative portrait of Maharaja Rai Singh,Bikaner,19th century,Opaque water-based pigments with gold on board,"Image: 5 x 4 1/3 in. (12.7 x 10.9 cm.)
Folio:10 x 7 3/4 in. (25.4 x 19.7 cm.)","closet, cabinet",https://drive.google.com/drive/folders/1f1g7btFngSiEZfW6tJTMvcD_FlV1pxbR?usp=sharing,"Cowan's, 3/10/18, lot 386",,"Collection of the Maharaja of Bikaner, 1964, according to inventory seal verso (no. 4724).",,
,,An illustration to the Devi Mahatmya: The Demon Army,Jaipur,circa 1820-1840,Opaque watercolor heightened with gold on paper,"Image: 6 3/4 x 10 3/4 in. (17.1 x 27.3 cm.)
Folio: 9 1/4 x 12 3/4 in. (23.5 x 32.4 cm.)",Drawer 14,https://drive.google.com/drive/folders/1qU9qJBAu5bTdn2tIZmU94XZtzkLEl8fB?usp=sharing,Freeman's auction,"Exhibited:
Lycoming College Gallery; Williamsport Pennsylvania, 1981.","Bharany’s Gallery, 14 Sunder Nagar Market, New Delhi, India. 
Private collection, acquired from the above, 1978.",,
,,A leaf from the Devi Mahatmya: Homage of the Gods,Guler,circa 1850,Opaque watercolor heightened with gold on paper,8 3/4 x 12 2/3 in. (22 x 32 cm.),Drawer 6,https://drive.google.com/drive/folders/1n9DhW2AspJV13Qxpio8JDQyt2jzeFac2?usp=sharing,,,"Collection of the Marquess of Tweeddale.
Sotheby’s New York, 16 & 17 September 1998, lot 561. Private collection, United States.",,
,,An equestrian portrait of Maharana Bhim Singh of Mewar,Udaipur or Devgarh,mid-19th century,Opaque watercolor heightened with gold on paper,"Image: 10 ½ x 9 in. (26.7 x 22.9 cm.)
Folio: 11 ½ x 9 ⅞ in. (29 x 25 cm)",Drawer 13,https://drive.google.com/drive/folders/1eKmP6phHi2JIvITq7okS_RAD_LOH93cb?usp=sharing,,"Literature:
Will Heinrich, “Art: Tiny Works Full of Wonder”, New York Times, 17 August 2019.
Will Heinrich, “Art: Bold Colors from Rajasthan” in “The Week in Arts: An End to ‘The Affair’; A Lincoln Center Horror Show”, nytimes.com, 17 August 2019.",Ex-collection of Robert O Muller,,
,,Portrait of the Master Sufi Al-Shaykh Abd Al-Qadir Al-jaylani,Deccan,19th century,Opaque watercolor heightened with gold on paper,"Image: 8 3/4 x 5 7/8 (22.2 x 14.9 cm.)
Folio: 11 1/4 x 8 1/4 in. (28.5 x 21 cm.)","Framed, closet, B3",https://drive.google.com/drive/folders/10JQ0xLi8wkbJ_TYrXJUnXKtLwRNeH8S9?usp=sharing,"Million, 12/3/18, lot 300",,Private European collection.,,
,,Two Paithan paintings illustrating the Ramayana,Maharashtra,19th century,Opaque watercolor on paper,12 ½ x 18 ⅛ in. (31.7 x 46 cm.),basement,https://drive.google.com/drive/folders/17OCh5jx-YG2khriZ4nAtfkdRy3D7sTX5?usp=sharing,EBTH ,,"Private collection, Ohio.",,
,,A gray schist head of a bodhisattva,Ancient region of Gandhara, 2nd-3rd century,Grey Schist,13 in. (33 cm.) high,gallery,https://drive.google.com/drive/folders/1sbU4ipJzxdn80imvJzKibsbkr_Xnvg1d?usp=sharing,German auction,"Himalayan Art Resources (himalayanart.org), item no. 7774."," Private Belgian collection, by inheritance, originally acquired by his father during a working stay in Pakistan in the 1960’",,
,,Ardoksho,Ancient region of Gandhara,2nd - 3rd century ,Grey Schist,6 ½ in. (16.5 cm.),glass case,https://drive.google.com/drive/folders/14m-tyTW7krNE2eyPWZQmW5g8Se7E-PbQ?usp=sharing,,,"Christie’s Amsterdam, 8 May 2001, Lot 614.",,
,,Yaksha,Northeastern India," Pala period, 10th-11th century",Black basalt,32 x 13 x 5 ¾ in. (81.3 x 33 x 14.6 cm.),gallery,https://drive.google.com/drive/folders/1Q5-XDUdShUHARXxUQN-6to91Y7Yrv5Sl?usp=sharing,,," Sotheby’s, New York, 29 March 2006, lot 207",,
,,A silver-inlaid bronze figure of Ganesha,"Himachal Pradesh or Uttar Pradesh,",10th century,Bronze w silver inlay,4 1/8 in. (10.4 cm.) high,glass case,https://drive.google.com/drive/folders/1TraNXQ5yvtMIjOjC6krj8ZX4xL40lzHQ?usp=sharing,"John Suidmak, sold to Cecala, wife consigned to Kapoor","John Siudmak, Indian and Himalayan Sculpture and Thankas from the Collection of the Late Simon Digby, 2011, pp. 20-21, no. 9.",From the Collection of Asian Scholar Simon Digby,,
,,A bronze figure of Sambandhar,"Southern India, Tamil Nadu","Chola period, 10th century",Copper Alloy,17 ½ in. (45 cm.) high,"RETURNED (NOT SOLD)
RAMESH's",https://drive.google.com/drive/folders/1o9RPnUbzFg1R1iZ5CYZljzQVeaI8cPyP,,Art Loss No. S00156749,An important Italian collection,,
,,A bronze figure of Parvati,"South India, Tamil Nadu","Vijayanagara period, 15th-16th century",Bronze,3 in. (7.6 cm.) high,glass case,https://drive.google.com/drive/folders/1G6ZDWtpldhna4MSqVZQL3zezlh9f3aZu?usp=sharing,"Bonham’s San Francisco, 17 December 2018, lot 340
https://www.bonhams.com/auctions/24948/lot/340/ ",,"Private Florida Collection, acquired 1965-67.
Bonham’s San Francisco, 17 December 2018, lot 340.",,
,,A bronze shrine of Tirthankara Anantanatha ,"Western India, Rajasthan",dated 1491 Samvat (1434 CE),Bronze with silver and copper inlay,7 in. (18 cm.) high,gallery ,https://drive.google.com/drive/folders/1wOT_Tgzv5vY5mNmH_0ZFBxWgpvxvxona?usp=sharing,,,"Art & Textiles of the Islamic & Indian Worlds Including Works from the Collection of the Late SImon Digby; Christie’s South Kensington, 7 October 2011, Lot 313(1)",,
,,"
A gilt-bronze figure of Kala Bhairava",Nepal,16th-17th century,Bronze,4 in. (10.2 cm.) high,glass case,https://drive.google.com/drive/folders/1iyewqOb5jW2tPmiF1vtxCtizN3_MIBzj?usp=sharing,,"Himalayan Art Resources (himalayanart.org), item no. 7771. ","Sotheby's New York, 27 March 1991, lot 103.",,
,,A silver figure of Vajrapani,Tibet,13th-14th century,Silver,4 1/4 in. (10.8 cm.) high,glass case,https://drive.google.com/drive/folders/1nCYQ7fdj6f36fb3LT9lQb9q2BJxxNOVi?usp=sharing,Han Hai then private watson hotel collection ,"Himalayan Art Resources (himalayanart.org), item no. 7773.",Private European collection.,,
,,Buddha Shakyamuni and the Thirty-five Buddhas of Confession,"Western Tibet, Ngari Prefecture, Guge Kingdom,",15th century,Mineral pigments on cloth,45 x 35 in. (114.3 x 88.9 cm.),gallery,https://drive.google.com/drive/folders/1bDa2xYmmtQwGuadlJ0D-o0N_oMPhw2cM?usp=sharing,Chris Barker,"Himalayan Art Resources (himalayanart.org), item no. 7761.","Private collection, Germany.",,
,,A bronze figure of Kala Jambhala,Nepal,16th century,Bronze,4 1/4 (10.8 cm.) high,with Fritz Mang (conservator) as of 1/13,https://drive.google.com/drive/folders/1DnmQVOBukek6Pli1hx7TBXjjbjQX2_UC?usp=sharing,Bidsquare?,"Himalayan Art Resources (himalayanart.org), item no. 7770.","Private collection, New York.",,
,,A small bronze figure of Vajrasattva,Tibet,14th century,bronze,3 ½ in. (9 cm.) high,gallery,https://drive.google.com/drive/folders/182IgQleu9p-uBwTblK-dG23fWQYluRsR?usp=sharing,"Bonham’s Hong Kong, 2 Oct 2018, lot 132.","Himalayan Art Resources (himalayanart.org), item no. 61643.","Cees van der Plog, 1995, by repute. Bonham’s Hong Kong, 2 Oct 2018, lot 132.",,
,,Abhayakaragupta,Tibeto-Chinese,18th century,mineral pigments on cloth,39 1⁄2 x 23 1⁄2 in. (100.3 x 59.7 cm.),gallery; gold frame,https://drive.google.com/drive/folders/1tmsJtDOZ0hAmpH6Rtu_JhRevof5cHT5q?usp=sharing,"Heritage 9/9-10/19, lot 78314","Himalayan Art Resources (himalayanart.org), item no. 7718.","Private New York collection, acquired in the 1960s, by repute. 
Thence by descent.",,
,,,,,,,,,,,,,
From 2019 Catalog,,,,,,,,,,,,,
,,,,,,,,,,,,,
2019,,Vajrapani,Tibet,17th century,Gilt Bronze with Polychrome,6 1/2 in. (16.5 cm.),RK apartment,https://drive.google.com/drive/folders/1NYJtFAUbMFKQzhnF86u545dmLxjwZBlc?usp=sharing,,"Himalayan Art Resources (himalayanart.org), item no. 8040.",From a private North American Collection.,,
2019,,Amitayus, Tibet,16th century,Gilt Bronze,8 7/8 in. (22.6 cm.) high,RK apartment,https://drive.google.com/drive/folders/1YGP6J0y7BUk8Uipq9oO11T32ixYqLRap?usp=sharing,,"Himalayan Art Resources (himalayanart.org), item no. 8021.",Private Polish collection.,,
2019,,Vajradhara ,Tibet,15th century,Gilt Bronze,9 ¾ in. (24.8 cm.) high,glass case ,https://drive.google.com/drive/folders/1fxKH5FmOkZ_a42XVvCHa61ecbSEu3ES0?usp=sharing,,"Himalayan Art Resources (himalayanart.org), item no. 8375.","The collection of Holger Rosell (1917–2009), Stockholm.
The collection of the National Museum Prins Eugens Waldemarsudde, Stockholm.
Uppsala Auktionskammare, 5 December 2014, lot 1001.",,
2019,,Maitreya,Tibet,14th-15th century,,8 1/2 in. (21.6 cm.),,,,HAR item no. 36297,Private European Collection,,
2019,,Vajrasattva,Tibet,13th century,,3 1/2 in. (9 cm.) ,gallery,https://drive.google.com/drive/folders/1yc66Wcv1eJ8VPgi7JuTacu7XcypcxuRR?usp=sharing,,,"Cees van der Plog, 1995, by repute. Bonham’s Hong Kong, 2 Oct 2018, lot 132.",,
2019,,Avalokiteshvara,China,Qing Dynasty,Gilt-Bronze ,6 3/4 in. (17 cm.) high,,https://drive.google.com/drive/folders/1Y73IuiPyA5z-bn9NRhA_bGWVtc8usNoc?usp=sharing,,HAR item no. 8022,"Provenance:
From a private American Collection ",,
2019,,Pala Padmapani,India,circa 12th century,Bronze,3 7/8 in.,STOLEN BY RAMESH,https://drive.google.com/drive/folders/1ikTsc0IqPg8xs3166cJprhG0MKLitAft?usp=sharing,,,"From a private European collection, acquired in the 1980’s-1990’s	",,
2019,, Shakyamuni,Tibet,18th century,Ground mineral pigments and gold on cloth,"Image: 24 x 15 in. (61 x 38 cm)
Framed: 31 1/2 x 21 1/2 in. (80 x 55 cm)","basement
BC2",https://drive.google.com/drive/folders/1S9j3ijgndNTTO5mjlXzE_5Jvu7eP9VjT?usp=sharing,,HAR No. 8045,"
Collection of late John Walden (1925-2013)",,
2019,,The Elder Arhat Kanakavatsa,Tibet,circa 18th century,Ground mineral pigments on cloth,36 ¼ x 24 in. (92 x 61 cm.),gallery ,https://drive.google.com/drive/folders/19X-ghm2uErRzZd-WSRbjZCI5sWKmnoIK?usp=sharing,,,"Koller Zurich, June 1978, lot 46",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2019,,Figure of Nandi,Rajasthan or Uttar Pradesh,circa 12th century,Sandstone,23 x 24 x 10 in. (58.4 x 61 x 25.4 cm.) ,stairway,https://drive.google.com/drive/folders/1Pbujd6Agj9XhP81BDeyrlxsjkwH_u-il?usp=sharing,,,"Private collection, acquired in 1990s 
Christie’s New York, September 21, 2005, lot 63",,
2019,,"Illustration to the ‘Large’ Guler-Basohli Bhagavata Purana: 
The Liberation of Nalakuvara and Manigriva
",Attributed to Manaku; Guler-Basohli,circa 1760-1765,Opaque watercolor heightened with gold on paper,"Image: 9 ⅛ x 13 ¼ in. (23.3 x 33.5 cm.)
Folio: 11 ¼ x 16 in. (28.9 x 41 cm.)
 ",Gallery 4/28,https://drive.google.com/drive/folders/1S8z2Sxz9zyTsVNlhIIfFDnIVrbbTJzFS?usp=sharing,,,The Collection of the late Brendan Garry (d. 16th September 2011). Siva Swaminathan (d. 26th March 2014).,,
,,,,,,,,,,,,,
2019,,Portrait of a Woman with a Cat,"India, Mughal",circa 18th century,Opaque watercolor heightened with gold on paper,"Image: 6 1/4 x 4 in. (15.9 x 10.2 cm.)
Folio: 11 3/4 x 8 1/4 in. (29.8 x 21 cm.)",B3,https://drive.google.com/drive/folders/1gTfrdvChlK3ysJhUazqUJL3wvklsxOac?usp=sharing,,,"From a distinguished New York collection, acquired 1968",,
2019,,"Two preparatory drawings, depicting an extensive battle scene, and a ploughing contest, probably scenes from the Mahabharata ","India, Kangra", Late 18th - early 19th Century,"Pen and ink on paper, numerous inscriptions in nagari script ",11 1/3 x 12 3/4 in. (29 x 32.5 cm.),,https://drive.google.com/drive/folders/1j2lSHkOBgO6lQ7U0KX3ZaEN45M0Pyk0p?usp=sharing,"Bonhams 12/5/18, lot 27",,From a private European Collection. ,,
2019,,"An Illustration To A Mahabharata Series:
Vidura confers with Dhritharashtra
Attributed to Purkhu",Kangra,circa 1820,Opaque watercolor heightened with gold on paper,,18 1/2 x 13 1/4 in. (47 x 34 cm.),Consigned to Christies September 2021,https://drive.google.com/drive/folders/1LPwyurUqZr_Mo9qlel2zeZWD7Bus8Sd7?usp=sharing,,,,
2019,,"Leaf from the Bhagavata Purana: The Story of Creation
Varaha, the Boar Incarnation of Vishnu Appears before Brahma, Manu, and Satarupa
","Guler, Attributed to Manaku ( Active c.1725 - c.1760)",circa 1740 ,Gouache and gold on paper,12 1/2 x 8 1/2 in. (31.7 x 21.6 cm.),RK apartment,https://drive.google.com/drive/folders/1dSPCPAJrEARhbtTw_T-4aQ-bkIxhcXyJ?usp=sharing,Able auction,,"Acquired in NY, July 7th, 1982 (original invoice available upon request)",,
2019,,Illustration to the Rasamanjari of Bhanu Dutta: The Intoxicated Courtesan,"Attributed to Devidasa, Basohli",circa 1695,"Opaque watercolor heightened with gold, silver and beetle wing cases on paper ", 8 1⁄4 x 11 1⁄2 in. (21 x 29.2 cm),,https://drive.google.com/drive/folders/17ZAzyjY-soO5wR1t-1hF0Ew8t_V-pC5E?usp=sharing,,,"Sotheby’s Parke Bernet, New York, 30 June 1980, Lot 166.
Doris Wiener, New York, 1981.
Bonhams, New York, 11 Sep 2012, lot 83.
Private Collection, USA.
",,
2019,,A leaf from the Shahnameh,Mughal,circa 1600,,"Image: 12 1/4 x 9 in. (31.1 x 23 cm 
Folio: 17.7 x 14 in. (45 x 35 1/2 cm)",Taken by Ramesh,https://drive.google.com/drive/folders/1wvA-f-tzhUPKVAyFeOPXx3bNOuy1jFEo?usp=sharing,,,"Estate of Theordore Allen Heinrich (1910-1981).
Professor Heinrich was an art historian, curator and educator. From 1955 to 1962, he was the director of the Royal Ontario Museum, and afterwards he taught art history at the University of Saskatchewan and York University.",,
2019,,Drunken Prince Led to Bed,"Mughal, Lucknow",18th Century,Gouache heightened with gold on paper,"Image: 9 5/8 x 7 1⁄2in. (24.5 x 19cm.) 
Folio: 13 x 11 1⁄4in. (33 x 28.5cm.)
","Closet, C3",https://drive.google.com/drive/folders/1IIkjenmbidAg9LxB-fXte7o5i64sD8qo?usp=sharing,,,"Christie’s, London, 4 October 2012, lot 178.",,
2019,,A Leaf from the Madhavanala Kamakandla,Provincial Mughal,circa 1750,Gouache and gold on paper,12 ¼ x 7 ¼ in. (31 x 18.5 cm),Drawer 6,https://drive.google.com/drive/folders/1_eF0GPCj8XSkJ2BWRwr-SRi2Gqa9H29c?usp=sharing,,,"Christie’s London, 4 October 2012, Lot 177.",,
2019,,Bhagavata Purana: The Pandavas and Krishna Bathe in the Jamuna,"Bikaner, attributed to Kayam (Qayam)",circa 1750,Gouache heightened with gold on prepared paper,"Image: 9 x 12 in. (22.8 x 30.4 cm.)
Folio: 11 1/2 x 14 3/4 in.  (29.2 x 37.4 cm.)",RK apartment,https://drive.google.com/drive/folders/17QFbFw2TnUmpO7T1ohgGZjF4OtxtDWCh?usp=sharing,,,,,
2019,,An Illustration from the Bhagavata Purana: Krishna Slaying the Bull Demon (Arishtasura),Rajasthan,Mid-18th c. ,Opaque pigments and gold on paper,6 x 10 1/8 in. (15 x 25.8 cm.),Drawer 9,https://drive.google.com/drive/folders/1U9PTShvaK9c3NxjklNbM8xbWDUdQmXsQ?usp=sharing,,,"2014.021; London Art Market, 2014.
Christie's New York, 26-27 September 2017, lot 228; The Collection of Paul F. Walter",,
2019,,Blind Mans Buff,Kangra,c. 1775-1780,,10 X 8 inches,Consigned to Christies September 2021,https://drive.google.com/drive/folders/1-hGipkfQ8lotBYlVme8ukvYvUshFztyJ?usp=sharing,,,,,
2019,,Leaf from the Devi Mahatmya: Durga in a Battle Against a Demon (Nishumbha),Jaipur,c. 1820-1840,Opaque watercolor heightened with gold on paper ,8 x 12 in. (20.3 x 30.5 cm.),Drawer 8,https://drive.google.com/drive/folders/1SJLKVF5TycdLNWStEkTPLE6n4MsEl04B?usp=sharing,"Freeman's 3/26/18, lot 203","Lycoming College Gallery; Williamsport Pennsylvania, 1981.","Bharany's Gallery, 14 Sunder Nagar Market, New Delhi, India.
Acquired from the above by the present owner 1978.",,
2019,,Illustration to the Devi Mahatmya: The Beauty of Ambika,Guler,c. 1810,Gouache heightened with gold on paper,8 1/4 x 12 in.,AAL,https://drive.google.com/drive/folders/1sO6z7HDp_zyTbtwMoFx42g2bjFWEzH2_?usp=sharing,,,"Christies, London, 10 October 1989, lot 70.",,
2019,,An Illustration to the Markandeya Purana: Ambika Reduces Dhumralochana to Ashes,Mandi,c. 1825,Gouache heightened with gold on paper,"Image: 7 ⅞ x 10 ¾ in. (20 x 27.3 cm.)
Folio: 10 ⅛ x 13 in. (25.7 x 33 cm.)
","basement
BB2",https://drive.google.com/drive/folders/1RFzn21y4ANkUtqbxin9tL-qKWseCUbZP?usp=sharing,,,"Mandi Royal Collection, 1969.
Private European Collection.",,
2019,,Sajnu Kali,Mandi,c. 1810,Opaque watercolors heightened with gold on paper,12 1/2 x 9 1/2 in. (31.8 x 24.2 cm.),Drawer 14,https://drive.google.com/drive/folders/178diNXdY6AfGpbDhs2310r5SblUYXIRh?usp=sharing,"Christie's King Street, 10 June 2015, lot 70.",,"Private Swiss Collection. Christie's King Street, 10 June 2015, lot 70.",,
2019,,Illustration to a Harivamsa Series: Narada Warns Kamsa,"Kangra, attributed to Purkhu",c. 1800-1820,Opaque watercolor heightened with gold on prepared paper,"Image: 16 ⅞ x 12 ½ in. (47.5 x 37 cm.)
Folio: 18 ½ x 14 ¼ in. (47 x 36.2 cm.)",RK apartment,https://drive.google.com/drive/folders/1baCafAJqtWs8ipe7wJCzPosc8MLrNYv7?usp=sharing,,,"Acquired by Stanley A Kaplan, in India, during the 1940s-1950s.",,
2019,,Leaf from the Bhagavata Purana Depicting Vishnu and Garuda: The Liberation of Gajendra Moksha ,Bundi,18th century,Gouache heightened with gold on paper ,7 5/8 x 11 1/8 in. (19.4 x 28.3 cm.),"Framed,
B2",https://drive.google.com/drive/folders/19ufKs_Cs6ECBEKGzeHzOhFHFek12cTcO?usp=sharing,,," Collection of the Marquess of Tweeddale. 
Private New York Collection, acquired in the 1990’s. 
",,
2019,,A Leaf from the Hamir Hath ,Mandi,c. 1810,,"Image: 12 ⅝ x 17 ¾ in. (32 x 35 cm.)
Folio: 14 ⅝ x 19 ⅞ in. (37 x 50.5 cm.)",Consigned to Christies September 2021,https://drive.google.com/drive/folders/1_IV-HD_ygwNLv8DPsbs64pcZ2MGHm3nL?usp=sharing,,,,,
2019,,Rama and Sita Enthroned,"Punjab Hills, Guler",c. 1830,Gouache heightened with gold on paper,"Folio: 9 ⅞ x 7 ¾ in. (25.1 x 19.6 cm.)
Image: 9 x 6 ¾ in. (23 x 17.2 cm.)

",,https://drive.google.com/drive/folders/1vtMCEDPUXM346vfbvV_QA2lki2a5KkQm?usp=sharing,,,"Christie’s South Kensington, 4 October 2012, lot 211.",,
2019,,Rada and Krishna watching Nautch ,Kangra,c. 1800,Gouache heightened with gold on paper,10 x 7 1/8 in. ,RK apartment,https://drive.google.com/drive/folders/1e8eTFh-Q6GexPgXmFZM-LStNvef964nr?usp=sharing,,,"Collection of Dr. K. Aterman, acquired in London, 1950s-1960s.",,
,,,,,,,,,,,,,
2019,,Love-Lorn Lady,Kangra,c1850,,9 3/4 x 11 5/8 in. ,office,https://drive.google.com/drive/folders/1KI9yMttLKKVvHhtDOmTxdh5EsX63X-Ng?usp=sharing,,,,,
,,,,,,,,,,,,,
2019,,Lakshmi massaging the foot of Vishnu,Kangra,circa 1810-1820,Opaque watercolor heightened with gold and silver on paper,"Painting: 9 1/8 x  6 1/8 in. (23.3 x 15.8 cm.)
Folio: 11 1/8 x 8 ¼ in. (28.5 x 21 cm.) 

","Framed,
C2",https://drive.google.com/drive/folders/1lnn9R-Gs8avLimpQT_uUbIVRT0Nv-ZOR?usp=sharing,,,"Forge Lynch will find invoice

Private collection, Canada. 
",,
2019,,Krishna shares a drink with Radha,"Kishangarh, North India",c. 1800,Gouache Heightened with Gold on Paper,12 1/4 x 10 in.,RK apartment,https://drive.google.com/drive/folders/1vQ3WQ8_iiQF3nEOCKKooYV-uAABRKXS2?usp=sharing,,,Private European Collection.,,
2019,,Krishna & Radha / Illustration to a Baramasa Series: The Month of Pausha (Mid December to Mid January),Kangra,c. 1800,,10 x 7 1/8 in.,Consigned to Christies September 2021,https://drive.google.com/drive/folders/1VXU2jtBEhsIyW5v6YGTppmlrSxDs8Mnb?usp=sharing,,,,,
2019,,Krishna Paying Homage to Radha,Kangra,c. 1810,Gouache heightened with gold on paper,9 ⅓ x 6 ¾ in. (23.7 x 17.1 cm.),"closet,
Framed
B2",https://drive.google.com/drive/folders/1e8UHkojxPr2bGnstnwzlrCHsZmGGD--g?usp=sharing,,," Koller Zurich, 30 October 20154, Lot 54.",,
2019,,Krishna on the Road to Kundinapura: A folio from a Rukmini Harana Series,Garhwal (Pahari),c. 1800,,"Folio: 7 ½ x 10 ¾ in. (19 x 27.3 cm.)
Image: 7 x 10 in. (17.8 x 25.4 cm.)",RK apartment,https://drive.google.com/drive/folders/1P9300gXZZFOmD9_hBHWAzkIPdUtgSzzD?usp=sharing,,,,,
2019,,The Elephant Meghabaran Goes on a Rampage,Kishangarh,c. 1800,Opaque watercolor heightened with gold on paper,8 1/4 by 8 in. (21 by 20.2 cm.),RK apartment,https://drive.google.com/drive/folders/1mD9uXX4smNcuEVXlk_nKrD0hx36KJdU5?usp=sharing,,,"Sotheby’s, New York, 19 September 2008, lot 222. ",,
2019,,Women at a Water Well,Provincial Mughal,1850-1900,Opaque watercolors heightened with gold on paper,7 1⁄2 x 4 3⁄4 in. (19 x 12 cm.),z,https://drive.google.com/drive/folders/1A5ejbe76dk2DEgrCA-Fzt4k-U0x63Kpm?usp=sharing,** need to add image in folder,,From a Private New York Collection.,,
,,,,,,,,,,,,,
Portraits Catalog,,,,,,,,,,,,,
,,Maharao Ram Singh of Bundi Holding a Blossom,,,,,,,,,,,
,,Maharao Ram Singh II of Kotah & Maharao Ram Singh of Bundi,,,,,,,,,,,
,,Maharao Ram Singh II Taming a Black Buck,,,,,,,,,,,
,,Maharana Ari Singh Riding in a Procession to Jagan Nath,,,,,,,,,,,
,,A Portrait of the Stallion Sitaraj,,,,,,,,,,,
,,Maharana Bhim Singh Riding a Caparisoned Elephant,,,,,,,,,,,
,,A Raja and His Courtiers Playing Chaupar,,,,,,,,,,,
,,Portrait of Mian Avalia,,,,,,,,,,,
,,Portrait of Tholu Sanyal,,,,,,,,,,,
,,Prince Thata Singh in a Hunting Procession,,,,,,,,,,,
,,Maharaja Kailash Pal of Nurpur ,,,,,,,,,,,
,,Dev Singh of Mandi,,,,,,,,,,,
,,Aurangzeb in Court,,,,,,,,,,,
,,Shah Jahan at a Jarokha Window,,,,,,,,,,,
,,Khalifah Sayyid Ahmad Lies Dead,,,,,,,,,,,
,,A Nobleman Holding a Hunting Falcon,,,,,,,,,,,
,,A Portrait of Mian Hadala Pal,,,,,,,,,,,
,,Raja Prakash Chand of Guler Smoking (Check inscription),,,,,,,,,,,
,,Sayyid Hussein Ali (Firoz Jang) Speaking to Courtiers,,,,,,,,,,,
,,Sayyid Hasan Ali Receives a Minister,,,,,,,,,,,
,,A Maiden with an Open Book,,,,,,,,,,,
,,A Shaivite Yogi Plucks a Veena,,,,,,,,,,,